Day,Holiday,Meal_Type,Time_In,Time_Out,Time_Taken
Mon,0,Breakfast,930,951,21
Mon,0,Lunch,1258,1325,27
Mon,0,Snack,1721,1735,14
Mon,0,Dinner,2126,2145,19
Tue,0,Breakfast,844,859,15
Tue,0,Lunch,1354,1417,23
Tue,0,Snack,2057,2120,23
Tue,0,Dinner,840,859,19
Wed,0,Breakfast,840,859,19
Wed,0,Lunch,1231,1306,35
Wed,0,Snack,1718,1730,12
Wed,0,Dinner,2057,2123,26
Thu,0,Breakfast,831,848,17
Thu,0,Lunch,1338,1412,34
Thu,0,Snack,1702,1720,18
Thu,0,Dinner,2113,2135,22
Fri,0,Breakfast,913,931,18
Fri,0,Lunch,1428,1450,22
Fri,0,Snack,1755,1816,21
Fri,0,Dinner,2100,2121,21
Sat,1,Breakfast,938,955,17
Sat,1,Lunch,1340,1410,30
Sat,1,Snack,,,
Sat,1,Dinner,2102,2125,23
Sun,1,Breakfast,,,
Sun,1,Lunch,1335,1406,31
Sun,1,Snack,1732,1745,13
Sun,1,Dinner,2045,2115,30
Mon,0,Breakfast,940,1002,22
Mon,0,Lunch,,,
Mon,0,Snack,1738,1755,17
Mon,0,Dinner,,,
Tue,0,Breakfast,948,1013,25
Tue,0,Lunch,1237,1305,28
Tue,0,Snack,1703,1723,20
Tue,0,Dinner,2108,2133,25
Wed,0,Breakfast,,,
Wed,0,Lunch,1335,1401,26
Wed,0,Snack,1736,1750,14
Wed,0,Dinner,2034,2100,26
Thu,0,Breakfast,947,1012,25
Thu,0,Lunch,1300,1330,30
Thu,0,Snack,,,
Thu,0,Dinner,2015,2035,20
Fri,0,Breakfast,843,902,19
Fri,0,Lunch,1335,1407,32
Fri,0,Snack,,,
Fri,0,Dinner,2109,2136,27
Sat,1,Breakfast,952,1008,16
Sat,1,Lunch,1349,1416,27
Sat,1,Snack,1722,1740,18
Sat,1,Dinner,2115,2137,22
Sun,1,Breakfast,930,952,22
Sun,1,Lunch,1220,1253,23
Sun,1,Snack,,,
Sun,1,Dinner,2035,2100,25
